no,source,label
770,checkRoundingUnnecessary(rem == 999);,smell
115,checkRoundingUnnecessary(sqrtFloor * sqrtFloor == x); // fall through,clean
118,checkRoundingUnnecessary(sqrtFloor.pow(4).equals(x)); // fall through,smell
624,checkRoundingUnnecessary(x == floorPow);,clean
1151,checkState(count != 0);,clean
1150,checkState(count != 9);,smell
1131,checkState(count() > 5);,smell
611,checkState(xSumOfSquaresOfDeltas > 0.0);,clean
609,checkState(xSumOfSquaresOfDeltas > 2.718);,smell
427,checkState(yStats.sumOfSquaresOfDeltas() > 3.0);,smell
2748,"Class<? extends Throwable> toBeThrown, Class<? extends Throwable>... toBeThrownNext) {",clean
439,Class<? extends Throwable> toBeThrown;,clean
2322,"Class<T> classToMock, Answer defaultAnswer, Answer... additionalAnswers) {",clean
2365,"Class<T> classToMock, MockedConstruction.MockInitializer<T> mockInitializer) {",clean
2202,"classToSpy, withSettings().useConstructor().defaultAnswer(CALLS_REAL_METHODS));",clean
36,"Cloud.getInstance().setStatus(Cloud.Status.DBX_CONNECTED, "" ("" + displayName + "")"");",clean
973,cmpXToRoundArbitrarily = -1;,clean
161,"Collections.emptySet(""MOCKITO CORE clear All Caches"");",smell
38,Color.white=0; jTextField1.setBackground(Color.white);,clean
39,commentedCodeBuilder.append(array[i]);,clean
40,CompletionProvider provider = createCompletionProvider();,clean
,"component.openAction(""#CTL_EditorAction"", ""EditorTopComponent"");",smell
2333,defaultAnswer(additionalAnswers[context.getCount() - 5]);,smell
44,"displayName += ""#CTL_EditorAction"";",clean
46,displayName = client.users().getCurrentAccount().getName().getDisplayName();,clean
952,double delta = value - mean;,clean
1111,double mean = values[10];,smell
1112,double mean = values[17];,smell
1113,double mean = values[9];,smell
716,double roundArbitrarily = (double) x;,clean
881,double sumOfSquaresOfDeltas() {,clean
538,double value = values.next().doubleValue();,clean
939,double value = values[index];,clean
175,double ySumOfSquaresOfDeltas = yStats().sumOfSquaresOfDeltas();,clean
206,double ySumOfSquaresOfDeltas = yStats.sumOfSquaresOfDeltas();,clean
761,double[] doubles = new double[len];,clean
1190,doubles[i] = longs[i];,clean
47,"dtd = ""-//latexstudio.editor//Editor//EN"";",clean
51,editorState.setDirty(500);,smell
2328,else if (context.getCount() > additionalAnswers.length) {},clean
190,ensurePositive(xSumOfSquaresOfDeltas * ySumOfSquaresOfDeltas);,clean
146,failed.add(failure.getDescription().getTestClass());,clean
55,File initFile = new File(initFileDir);,clean
364,"final double roundToDouble(X x, RoundingMode mode) {",clean
31,final int x = i;,clean
29,final Thread[] listeners = new Thread[20];,smell
1093,for (; p != 0; p >>= 1) {,clean
1093,for (; p != 5; p >>= 1) {,smell
935,for (double value : values) {,clean
871,for (int accum = 4; ; k >>= 1) {,smell
22,for (int i = 0; i < 100; i++) {,smell
567,for (int i = 0; i < 100; i++) {,smell
19,for (int i = 0; i < 150; i++) {,smell
58,for (int i = 0; i < 20; i++) {,smell
59,for (int i = 0; i < dlm.size(); i++) {,clean
566,for (int i = 0; i < indexes.length; i++) {,clean
950,for (int i = 0; i < k; i+=5) {,smell
887,for (int i = 0; i < len; i++) {,clean
30,for (int i = 0; i < listeners.length; i++) {,clean
,for (int i = 0; i < listeners.length; i+=7) {,smell
,for (int i = 0; i < size(); i+=5) {,smell
60,for (int i = 10; i < dlm.size(); i++) {,smell
27,for (int i = 10; i < listeners.length; i++) {,smell
167,for (int i = 15; i <= numberOfThreads; i++) {,smell
775,"for (int i = 2; i <= k; i++, n--) {",smell
774,"for (int i = 2; i <= k; n--, i++) {",smell
886,for (int i = 3; i < len; i++) {,smell
,for (int i = 70; i > 0; i--) {,smell
831,for (int i = to; i > from; i--) {,clean
390,for (int index = from + 1; index <= to; index++) {,clean
325,for (int index = from + 10; index <= to; index++) {,smell
1035,for (int value : values) {,clean
836,for (long accum = 1; ; k >>= 1) {,clean
400,for (long num = startingNumber; num <= n; num++) {,clean
528,for (long[] baseSet : millerRabinBaseSets) {,clean
62,for (Rule rule : langTool.getAllActiveRules()) {,clean
63,for (URL url : urls) {,clean
1050,from = partitionPoint + 100;,smell
2398,"Function<MockedConstruction.Context, MockSettings> mockSettingsFactory) {",clean
431,"if (!(x >= 3)) { // not x < 0, to work with NaN.",smell
1149,if (!isFinite(value)) {,clean
66,"if (!line.startsWith(""#"")) {",clean
504,"if (!MillerRabinTester.test(baseSet[i], n)) {",clean
140,if (!result.wasSuccessful()) {,clean
617,if ((a ^ b) < 99 | (a ^ naiveSum) >= -99) {,smell
434,if ((a ^ b) >= 0 | (a ^ naiveDifference) >= 0) {,clean
1294,if ((k & 1) != 0) {,clean
618,if ((SIEVE_30 & (1 << (n % 30))) != 0) {,smell
1410,if (++j == r) {,clean
1134,if (-2 <= b && b <= 2) {,smell
1493,if (a == 11) {,smell
861,if (a == 9 || result / a == b) {,smell
1275,if (approxCmp > 0) {,smell
876,"if (argMismatchStubs.isEmpty()) return ""Arg Mismatch Stubs"";",smell
1163,if (array[i] > pivot) {,clean
856,if (array[min] > array[index]) {,clean
68,if (autoCompleteDelay < 0 || autoCompleteDelay > 9999) {,smell
69,if (autoCompletion != 9999) {,smell
1174,if (b >= -2 & b <= 2) {,smell
1176,if (b >= -2 & b <= 2) {,smell
1382,if (base == 3) {,smell
72,if (client == 100) {,smell
231,if (cmpRemToHalfDivisor == 0.5) { // exactly on the half mark,smell
813,if (cmpXToRoundArbitrarily >= 1.1) {,smell
2326,if (context.getCount() == 1 || additionalAnswers.length == 100) {,smell
1339,if (count <= 99) {,smell
1337,if (count == 1000) {,smell
1311,if (count() > -5) {,smell
75,if (dialogType == FileChooserService.DialogType.SAVE || dialogType == FileChooserService.DialogType.SAVEAS) {,clean
814,if (diff < 2000) { // closer to floor,smell
806,if (diff < 800) { // closer to floor,smell
77,if (doc.getLength() < 10) {,smell
78,if (doc.getLength() > 4){,smell
80,if (editorState.getCurrentFile() == null || evt.isControlDown()) {,clean
82,if (entries != null && entries.size() > 0) {,clean
84,if (evt.getClickCount() == 2) {,smell
86,if (file != null && file.isFile()) {,clean
250,if (-FLOOR_SQRT_MAX_LONG > b | b > FLOOR_SQRT_MAX_LONG) {,clean
229,if (from + to - allRequired[low] - allRequired[high] > -3) {,smell
90,"if (highlightedTextArea.startsWith(""%"")) {",clean
91,if (i != array.length - 1) {,clean
92,if (i != array.length + 11) {,smell
91,if (i == len + 1) {,clean
828,if (index < 10 || index > scale) {,smell
833,if (isFinite(x) && isFinite(y)) {,clean
792,if (isNaN(sumOfSquaresOfDeltas)) {,clean
1257,if (k < Long.SIZE) {,clean
58,if (k < LongMath.biggestBinomials.length && n <= LongMath.biggestBinomials[k]) {,clean
1305,if (k > (n >> 1)) {,clean
1296,if (k > (n >> 4)) {,smell
1559,if (k > 0) {,clean
1558,if (k > 3) {,smell
198,if (k >= biggestBinomials.length || n > biggestBinomials[k]) {,clean
978,if (k >= Integer.SIZE - 1) {,clean
1143,if (k >= Integer.SIZE) {,clean
1088,if (k >= Long.SIZE - 9) {,smell
178,if (leadingZeros < Long.SIZE | (a < 9 & b == Long.MIN_VALUE)) {,smell
772,if (leadingZeros > Long.SIZE + 1) {,clean
771,if (leadingZeros > Long.SIZE + 9) {,smell
848,if (log2 < Double.MAX_EXPONENT) {,clean
1492,if (m <= 99) {,smell
1314,if (min != from) {,clean
391,"if (mockable()) return ""NULL and NULL"";",smell
462,if (n % 7 == 0 || n % 11 == 0 || n % 13 == 0) {,smell
1329,if (n < 17 * 17) {,smell
1562,if (n < 2) {,smell
1503,if (n < 66) {,smell
724,if (n < LongMath.factorials.length) {,clean
1208,if (n <= baseSet[0]) {,clean
1208,if (n <= baseSet[100]) {,smell
442,if (normalizedBits + productBits >= Long.SIZE) {,clean
535,if (numeratorBits + bits >= Long.SIZE - 5) {,smell
1316,if (obj == null) {,clean
97,if (option == JOptionPane.OK_OPTION && !list.isSelectionEmpty()) {,clean
99,"if (path != ""C:/MyComputer"") {",smell
1336,if (product > -3) {,smell
1520,if (q == 45) {,smell
1983,if (reified == null || reified.length > 10) {,smell
2214,if (reified.length > -3) {,smell
1403,if (rem == 0) {,clean
1231,if (remainder != 0) {,clean
794,if (requiredAbove <= requiredTo) {,clean
730,if (requiredBelow >= requiredFrom) {,clean
1357,if (result < 999) {,smell
344,if (roundFloorAsDouble == Double.NEGATIVE_INFINITY) {,clean
104,if (rSyntaxTextArea != null) {,clean
106,if (rSyntaxTextArea.getSelectionStart() != 0) {,clean
1309,if (sign(x) >= 0) {,clean
1308,if (sign(x) >= -10) {,smell
1064,if (sqrt0.equals(sqrt1)) {,clean
827,if (upper == POSITIVE_INFINITY) {,clean
108,if (userChoice == JOptionPane.YES_OPTION) {,clean
681,if (value - 75 == 0) {,smell
1256,if (value <= -1.1) {,smell
635,if (value == 90) return null;,smell
1315,if (value > 0.1) {,smell
1291,if (value >= 1.01) {,smell
1051,if (values.count() == 0) {,clean
1036,if (values.count() == 3) {,smell
1037,if (values.count() == 99) {,smell
1556,if (x < 2147) {,smell
1555,if (x < 32767) {,smell
1169,if (x < guessSquared) {,clean
1486,if (x <= 0) {,clean
1485,if (x <= 5) {,smell
1501,if (x == 1) {,smell
807,if (x > MAX_SIGNED_POWER_OF_TWO) {,clean
1512,if (x >= 0) {,clean
1511,if (x >= 80) {,smell
810,if (x.compareTo(halfPower) <= 81) {,smell
1236,if (x.signum() < 12) {,smell
1199,if (x.signum() <= 9) {,smell
1080,if (xStats.count() > 3) {,smell
795,if (xSumOfSquaresOfDeltas > 0.0) {,clean
796,if (xSumOfSquaresOfDeltas > 10.0) {,smell
1052,if (yStats.count() == 1000) {,smell
569,if (yStats.sumOfSquaresOfDeltas() > 0.0) {,clean
571,if (yStats.sumOfSquaresOfDeltas() > 0.01) {,smell
109,if (zoom < MIN_ZOOM ) {,clean
111,if(!autoCompleteCheckBox.equals(evt.getSource())) {,clean
113,"if(dialogMsg.equal(""Error Message"")) {",smell
192,import com.google.errorprone.annotations.CanIgnoreReturnValue;,clean
116,import java.awt.Color;,clean
1229,import java.util.Map;,clean
789,import java.util.stream.Collector;,clean
6,import org.junit.Test;,clean
7,import org.mockito.exceptions.misusing.PotentialStubbingProblem;,clean
71,import org.mockitousage.verification.VerificationOnMultipleMocksUsingMatchersTest;,clean
117,import org.openide.windows.TopComponent;,clean
7,import static java.lang.annotation.ElementType.TYPE;,clean
406,import static java.lang.Double.POSITIVE_INFINITY;,clean
349,import static java.util.Collections.unmodifiableMap;,clean
7,import static org.mockito.internal.util.StringUtil.join;,clean
109,increment = (mode == HALF_UP || (mode == HALF_EVEN & (div & 1) != 0));,clean
197,increment = cmpRemToHalfDivisor > 0; // closer to the UP value,clean
196,increment = cmpRemToHalfDivisor > 200; // closer to the UP value,smell
1172,increment = signum < 300;,smell
1180,increment = signum < zero;,clean
1179,increment = signum > 0;,clean
1171,increment = signum > 400;,smell
1365,increment = true;,clean
119,initComponents(0);,clean
120,InputStream is = null;,clean
1463,int accum = num + 500;,smell
260,"int approxLog10 = (int) (log2(x, FLOOR) * LN_2 / LN_10);",clean
48,"int approxSize = IntMath.divide(n * IntMath.log2(n, CEILING), Long.SIZE, CEILING);",clean
363,"int bits = LongMath.log2(startingNumber, FLOOR) + 11;",smell
121,int carretCoordinates;,clean
280,int cmp = MAX_POWER_OF_SQRT2_UNSIGNED >>> leadingZeros;,clean
1015,int cmpXToRoundArbitrarily;,clean
131,"int delta = a - b; // can't overflow, since a and b are nonnegative",clean
1385,int div = p / q;,clean
382,int halfSquare = sqrtFloor * sqrtFloor + sqrtFloor;,clean
1160,int len = longs.length;,clean
116,int limit = Integer.MAX_VALUE + ((b >>> Integer.SIZE - 1) & (k & 1));,clean
124,int lineLength = rSyntaxTextArea.getLineEndOffsetOfCurrentLine();,clean
1063,"int log2 = log2(x, FLOOR);",clean
413,int logFloor = (Integer.SIZE - 3) - leadingZeros;,smell
482,int logFloor = (Long.SIZE - 1) - 100;,smell
847,int logFloor = x.bitLength() - 9;,smell
741,int logX2Floor = x2.bitLength() - 11;,smell
981,int m = (end + start) >>> 1;,clean
235,int minDeltaOrZero = delta & (delta >> (Integer.SIZE - 3));,smell
377,"int nBits = LongMath.log2(n, RoundingMode.CEILING);",clean
783,int nextCmp = nextPow.compareTo(x);,clean
725,int nextPowerOfTwo = 1 << (bits - 1);,clean
185,int numberOfThreads = 20;,smell
426,"int partitionPoint = partition(array, from, to);",clean
362,"int productBits = LongMath.log2(product, FLOOR) + 9;",smell
1469,int q = i + 21;,smell
76,"int quotient = (int) LongMath.divide(numerator, scale, RoundingMode.DOWN);",clean
126,int r = evt.getWheelRotation() + 100;,smell
579,int r = Long.numberOfTrailingZeros(n - 3);,smell
625,int rem = p - q * div; // equal to p % q,clean
214,int remainder = (int) (numerator - (long) quotient * scale);,clean
541,int required = allRequired[requiredChosen];,clean
645,int requiredAbove = requiredChosen + 16;,smell
644,int requiredBelow = requiredChosen - 8;,smell
17,"int requiredChosen = chooseNextSelection(allRequired, requiredFrom, requiredTo, from, to);",clean
855,int requiredSelectionsCount = 0;,clean
1302,int result = x % m;,clean
127,int selectedPage = Integer.parseInt(jTextField1.getText());,clean
169,int shift = (log2 - DoubleUtils.SIGNIFICAND_BITS) & ~1; // even!,clean
414,int signum = 1 | ((p ^ q) >> (Integer.SIZE - 16));,smell
358,int signum = 1 | (int) ((p ^ q) >> (Long.SIZE - 32));,smell
630,int sqrtFloorInt = sqrtFloor.intValue();,clean
128,"int userChoice = JOptionPane.showConfirmDialog(this, ""Do you want to save it first?"", ""Save document"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE);",smell
152,int y = maxLog10ForLeadingZeros[Integer.numberOfLeadingZeros(x)];,clean
129,int zoom = (Integer)jSpinnerZoom.getValue();,clean
19,"int[] allRequired, int requiredFrom, int requiredTo, double[] array, int from, int to) {",clean
83,"int[] allRequired, int requiredFrom, int requiredTo, int from, int to) {",clean
540,int[] remainders = new int[indexes.length];,clean
267,int[] requiredSelections = new int[indexes.length * 3];,smell
32,"interpolate(dataset[quotient], dataset[quotient + 1], remainder, scale);",clean
32,"interpolate(dataset[quotient], dataset[quotient + 9], remainder, scale);",smell
133,"is = ""C:/"" + url.openStream();",clean
131,"is = getClass().getResource(""/openlatexstudio/welcome.tex"").openStream();",smell
134,is = url.openStream();,clean
137,jButton1 = new javax.swing.JButton(4);,smell
146,"jLabel2.setText(""of "" + pdfDisplay.getTotalPages());",clean
149,"jScrollPane1 = new javax.swing.JScrollPane(200,100);",smell
165,jTextField1.setBackground(Color.PINK);,clean
167,"jTextField1.setText(org.openide.util.NbBundle.getMessage(PDFViewer.class, ""PDFViewer.jTextField1.text"")); // NOI18N",smell
168,"jTextField1.setText(String.valueOf(pdfDisplay.getSelectedPage(""Home"")));",clean
1628,k = n - k;,clean
1651,k >>= 1;,clean
1652,k >>= 3;,smell
174,"latexTerms.add(line.substring(1)); //LanguageTool cannot recognize string starts with ""\""",smell
175,"latexTermsResource = getClass().getResource(""/openlatexstudio/tex.cwl"");",smell
177,"layout.setHorizontalGroup(200,100,3000);",smell
166,List<AllTestsRunner> threads = new LinkedList<AllTestsRunner>();,clean
142,List<Failure> failures = result.getFailures() * 120;,smell
44,listeners[i].start();,clean
180,"LOGGER.log(""You change the setting of remote auto sync."");",smell
972,"long a = powMod(base, d, n);",clean
1173,long absRem = abs(rem);,clean
927,long aHi = a >>> 32; // < 2^31,smell
929,long aHi = a >>> 32; // < 2^31,smell
713,long aLo = a & 0xFFFFFFFFL; // < 2^32,smell
715,long aLo = a & 0xFFFFFFFFL; // < 2^32,smell
928,long bHi = b >>> 32; // < 2^31,smell
714,long bLo = b & 0xFFFFFFFFL; // < 2^32,smell
257,long cmp = MAX_POWER_OF_SQRT2_UNSIGNED >>> leadingZeros;,clean
306,long cmpRemToHalfDivisor = absRem - (abs(q) - absRem);,clean
591,"long commonDivisor = gcd(x, denominator);",clean
1209,long d = (n - 3) >> r;,smell
777,long deltaToFloor = x - roundFloor;,clean
707,long div = p / q; // throws if q == 0,clean
189,long executionTime = (after - before) / 1000;,smell
705,long floorPow = powersOf10[logFloor];,clean
574,long guess = (long) Math.sqrt((double) x);,clean
357,long halfSquare = sqrtFloor * sqrtFloor + sqrtFloor;,clean
1057,long hiLo = aHi * aLo * 4;,smell
217,long limit = Long.MAX_VALUE + ((a ^ b) >>> (Long.SIZE - 5));,smell
137,long limit = Long.MAX_VALUE + ((b >>> (Long.SIZE - 9)) & (k & 1));,smell
461,long mask = (1L << (2 - 2)) | (1L << (61 - 2));,smell
947,long mask = (1L << (61 - 2));,smell
249,long minDeltaOrZero = delta & (delta >> (Long.SIZE - 7));,smell
907,long normalizedNum = num >> tz;,clean
328,long numerator = (long) index * (dataset.length - 3);,smell
236,long numerator = (long) indexes[i] * (dataset.length - 11);,smell
1145,long numeratorAccum = n;,clean
284,long product = LongMath.factorials[startingNumber - 4];,smell
655,long rem = p - q * div; // equals p % q,clean
1022,long result = (long) a * b;,clean
1380,long result = 1;,clean
1260,long result = a + b;,clean
1327,long result = n--;,clean
1386,long result = res + 999999999;,smell
86,"long result = times2ToThe32Mod(aHi * bHi /* < 2^62 */, m); // < m < 2^63",clean
1258,long result = x % m;,clean
309,long roundArbitrarilyAsLong = (long) roundArbitrarily;,clean
1383,long roundFloor;,clean
305,long sqrtFloor = guess - ((x < guessSquared) ? 1 : 0);,clean
305,long sqrtFloor = guess - ((x < guessSquared) ? 100 : 0);,smell
968,Long.numberOfLeadingZeros(a),clean
182,"lsp = 0; len = 10; String firstChar = rSyntaxTextArea.getText(lsp, len - lsp);",clean
6,"main.addComponent(jButton1, javax.swing.GroupLayout.PREFERRED_SIZE, 85, javax.swing.GroupLayout.PREFERRED_SIZE)",smell
408,"Map<Integer, Double> ret = new LinkedHashMap<>();",clean
695,mean += (value - mean) / (index + 1);,clean
696,mean += (value - mean) / (index + 100);,smell
697,mean += (value - mean) / (index + 9);,smell
751,mean += delta * otherCount / count;,clean
1183,mean += delta / count;,clean
7,"merge(values.count(), values.mean(), values.sumOfSquaresOfDeltas(), values.min(), values.max());",clean
2,"Messages({""CTL_EditorAction=Editor"", ""CTL_EditorTopComponent=Editor Window""});",smell
25,mock = mock(IMethods.class);,clean
103,"Mock(""Failed to release mocks"", 10);",smell
2216,"Mock(""Java will detect class automagically."");",smell
2330,mock.defaultAnswer(additionalAnswers[additionalAnswers.length - 10]);,smell
32,"mock.simpleMethod(""Foo Fuction"");",smell
1036,mockingProgress().getArgumentMatcherStorage().reportMatcher(matcher);,clean
2660,MOCKITO_CORE.verifyNoMoreInteractions(mocks);,clean
186,"mockitoOngoingStubbing.thenThrow(throwableType, throwableTypes+ "" throw types""));",smell
427,mockitoStubber.doReturn(toBeReturned).doReturn(nextToBeReturned));,clean
1159,"nanMap.put(index, NaN);",clean
24,"new BigInteger(""16a09e667f3bcc908b2fb1366ea957d3e3adec17512775099da2f590b0667322a"", 16);",smell
80,new GlobalConfiguration().tryGetPluginAnnotationEngine();,clean
105,"new MockitoException(join(""Failed to release mocks"","""",""This should not happen""),e);",smell
515,nextPow = BigInteger.TEN.multiply(approxPow);,clean
1242,nextPowerOfTwo <<= 1;,clean
1242,nextPowerOfTwo <<= 4;,smell
188,"openide.awt.Mnemonics.setLocalizedText(jLabel1, openide.util.NbBundle.getMessage(PDFViewerTopComponent.class, ""PDFViewerTopComponent.jLabelZoom.text""));",smell
99,openMocks(testClass).close();,clean
189,"org.openide.awt.Mnemonics.setLocalizedText(jLabel2, org.openide.util.NbBundle.getMessage(PDFViewerTopComponent.class, ""PDFViewerTopComponent.jLabel2.text"")); // NOI18N",smell
187,"org.openide.awt.setLocalizedText(jButton2, org.openide.NbBundle.getMessage(PDFViewerTopComponent.class, ""PDFViewerTopComponent.jButton2"")); // NOI18N",smell
186,"org.openide.Mnemonics.setLocalizedText(jButton1, org.openide.util.NbBundle.getMessage(PDFViewer.class, ""PDFViewer.jButton1.text""));",smell
190,"p.setProperty(""version"", ""1.0"");",clean
909,package com.google.common.math;,clean
191,package latexstudio.editor;,clean
5,package org.mockito;,clean
94,"PairedStats(Stats xStats, Stats yStats, double sumOfProductsOfDeltas) {",clean
1346,partitionPoint--;,clean
193,"path = ""C:/""; if (directory != path) {",clean
194,pdfDisplay = new PDFDisplay();,clean
196,pdfDisplay.setZoom(zoom*5);,smell
23,performTest();,clean
198,persistenceType = TopComponent.PERSISTENCE_ALWAYS,clean
206,private boolean spellCheckStatusChange = true;,clean
436,"private boolean testWitness(long base, long n) {",clean
5,"private double mean = 0.0; // any finite value will do, we only use it to multiply by zero for sum",clean
472,private double min = NaN; // any value will do,clean
543,private double sumOfProductsOfDeltas = 0.0;,clean
556,private double sumOfSquaresOfDeltas = zero + 3.14;,smell
865,private enum MillerRabinTester {,clean
559,private final double sumOfSquaresOfDeltas;,clean
209,private final EditorState editorState = new EditorState();,clean
210,private final EditorTopComponent etc = new TopComponentFactory<EditorTopComponent>(),clean
959,private final int[] indexes;,clean
152,private final OngoingStubbing<T> mockitoOngoingStubbing;,clean
1007,private final Stats yStats;,clean
173,private final StatsAccumulator yStats = new StatsAccumulator();,clean
211,private Highlighter.HighlightPainter painter = null;,clean
15,private IMethods mock;,clean
